personnage,replique
DON JUAN,"Quel homme te parlait là ? Il a bien de l'air, ce me
semble, du bon Gusman de Done Elvire."
SGANARELLE,C'est quelque chose aussi à peu près de cela.
DON JUAN,Quoi ? C'est lui ?
SGANARELLE,Lui-même.
DON JUAN,Et depuis quand est-il en cette ville ?
SGANARELLE,"D'hier au soir. 
- 7 -"
DON JUAN,Et quel sujet l'amène ?
SGANARELLE,Je crois que vous jugez assez ce qui le peut inquiéter.
DON JUAN,Notre départ sans doute ?
SGANARELLE,"Le bonhomme en est tout mortifié, et m'en demandait le
sujet."
DON JUAN,Et quelle réponse as-tu faite ?
SGANARELLE,Que vous ne m'en aviez rien dit.
DON JUAN,"Mais encore, quelle est ta pensée là-dessus ? Que
t'imagines-tu de cette affaire ?"
SGANARELLE,"Moi, je crois, sans vous faire tort, que vous avez quelque
nouvel amour en tête."
DON JUAN,Tu le crois ?
SGANARELLE,Oui.
DON JUAN,"Ma foi ! Tu ne te trompes pas, et je dois t'avouer qu'un
autre objet a chassé Elvire de ma pensée."
SGANARELLE,"Eh ! Mon Dieu ! Je sais mon Don Juan sur le bout du
doigt, et connais votre coeur pour le plus grand coureur
du monde : il se plaît à se promener de liens en liens, et
n'aime guère demeurer en place. 
- 8 -"
DON JUAN,"Et ne trouves-tu pas, dis-moi, que j'ai raison d'en user de
la sorte ?"
SGANARELLE,Eh ! Monsieur.
DON JUAN,Quoi ? Parle.
SGANARELLE,"Assurément que vous avez raison, si vous le voulez ; on
ne peut pas aller là contre. Mais si vous ne le vouliez pas,
ce serait peut-être une autre affaire."
DON JUAN,"Eh bien ! Je te donne la liberté de parler et de me dire tes
sentiments."
SGANARELLE,"En ce cas, Monsieur, je vous dirai franchement que je
n'approuve point votre méthode, et que je trouve fort
vilain d'aimer de tous côtés comme vous faites."
DON JUAN,"Inclination : Se dit aussi de l'amour,
du penchant, de l'attachement qu'on a
pour quelqu'un. [F]Quoi ? Tu veux qu'on se lie à demeurer au premier objet
qui nous prend, qu'on renonce au monde pour lui, et
qu'on n'ait plus d'yeux pour personne ? La belle chose de
vouloir se piquer d'un faux honneur d'être fidèle, de
s'ensevelir pour toujours dans une passion, et d'être mort
dès sa jeunesse à toutes les autres beautés qui nous
peuvent frapper les yeux ! Non, non : la constance n'est
bonne que pour des ridicules ; toutes les belles ont droit
de nous charmer, et l'avantage d'être rencontrée la
première ne doit point dérober aux autres les justes
prétentions qu'elles ont toutes sur nos cours. Pour moi, la
beauté me ravit partout où je la trouve, et je cède
facilement à cette douce violence dont elle nous entraîne.
J'ai beau être engagé, l'amour que j'ai pour une belle
n'engage point mon âme à faire injustice aux autres ; je
conserve des yeux pour voir le mérite de toutes, et rends
à chacune les hommages et les tributs où la nature nous
oblige. Quoi qu'il en soit, je ne puis refuser mon coeur à
tout ce que je vois d'aimable ; et dès qu'un beau visage
me le demande, si j'en avais dix mille, je les donnerais
tous. Les inclinations naissantes, après tout, ont des
charmes inexplicables, et tout le plaisir de l'amour est
dans le changement. On goûte une douceur extrême à
réduire, par cent hommages, le coeur d'une jeune beauté,
à voir de jour en jour les petits progrès qu'on y fait, à
combattre par des transports, par des larmes et des
soupirs, l'innocente pudeur d'une âme qui a peine à
- 9 -"
SGANARELLE,"Vertu de ma vie, comme vous débitez ! Il semble que
vous avez appris cela par coeur, et vous parlez tout
comme un livre."
DON JUAN,Qu'as-tu à dire là-dessus ?
SGANARELLE,"Ma foi ! J'ai à dire... Je ne sais que dire ; car vous tournez
les choses d'une manière, qu'il semble que vous avez
raison ; et cependant il est vrai que vous ne l'avez pas.
J'avais les plus belles pensées du monde, et vos discours
m'ont brouillé tout cela. Laissez faire : une autre fois je
mettrai mes raisonnements par écrit, pour disputer avec
vous."
DON JUAN,Tu feras bien.
SGANARELLE,"Mais, Monsieur, cela serait-il de la permission que vous
m'avez donnée, si je vous disais que je suis tant soit peu
scandalisé de la vie que vous menez ?"
DON JUAN,Comment ? Quelle vie est-ce que je mène ?
SGANARELLE,"Fort bonne. Mais, par exemple, de vous voir tous les
mois vous marier comme vous faites... 
- 10 -"
DON JUAN,Y a-t-il rien de plus agréable ?
SGANARELLE,"Il est vrai, je conçois que cela est fort agréable et fort
divertissant, et je m'en accommoderais assez, moi, s'il n'y
avait point de mal, mais, Monsieur, se jouer ainsi d'un
mystère sacré, et..."
DON JUAN,"Va, va, c'est une affaire entre le Ciel et moi, et nous la
démêlerons bien ensemble, sans que tu t'en mettes en
peine."
SGANARELLE,"Ma foi ! Monsieur, j'ai toujours ouï dire, que c'est une
méchante raillerie que de se railler du Ciel, et que les
libertins ne font jamais une bonne fin."
DON JUAN,"Holà ! Maître sot, vous savez que je vous ai dit que je
n'aime pas les faiseurs de remontrances."
SGANARELLE,"Mirmidons : ou Myrmidons. Peuple de
Thessalie, que les Fables des Païens on
dit être nés de fourmis, sur la prière du
roi Jacus en fit à Jupiter, après que son
royaume fut dépeuplé par la peste. Ce
mot est venu en usage dans notre
langue pour signifier un homme fort
petit ou qui n'est capable d'aucune
résistance. [L] Je ne parle pas aussi à vous, Dieu m'en garde. Vous savez
ce que vous faites, vous ; et si vous ne croyez rien, vous
avez vos raisons ; mais il y a de certains petits
impertinents dans le monde, qui sont libertins sans savoir
pourquoi, qui font les esprits forts, parce qu'ils croient
que cela leur sied bien ; et si j'avais un maître comme
cela, je lui dirais fort nettement, le regardant en face : «
Osez-vous bien ainsi vous jouer au Ciel, et ne
tremblez-vous point de vous moquer comme vous faites
des choses les plus saintes ? »  C'est bien à vous, petit ver
de terre, petit mirmidon que vous êtes (je parle au maître
que j'ai dit), c'est bien à vous à vouloir vous mêler de
tourner en raillerie ce que tous les hommes révèrent ?
Pensez-vous que pour être de qualité, pour avoir une
perruque blonde et bien frisée, des plumes à votre
chapeau, un habit bien doré, et des rubans couleur de feu
(ce n'est pas à vous que je parle, c'est à l'autre),
pensez-vous, dis-je, que vous en soyez plus habile
homme, que tout vous soit permis, et qu'on n'ose vous
dire vos vérités ? Apprenez de moi, qui suis votre valet,
que le Ciel punit tôt ou tard les impies, qu'une méchante
vie amène une méchante mort, et que..."
DON JUAN,"Paix ! 
- 11 -"
SGANARELLE,De quoi est-il question ?
DON JUAN,"Appas : Se dit en choses morales de
ce qui sert à attraper les hommes, à
les attirer, à les inviter à faire quelque
chose. Plus précisément ici, les appas
sont les qualités attirantes d'une
femme.Il est question de te dire qu'une beauté me tient au coeur,
et qu'entraîné par ses appas, je l'ai suivie jusques en cette
ville."
SGANARELLE,"Et n'y craignez-vous rien, Monsieur, de la mort de ce
Commandeur que vous tuâtes il y a six mois ?"
DON JUAN,Et pourquoi craindre ? Ne l'ai-je pas bien tué ?
SGANARELLE,"Fort bien, le mieux du monde, et il aurait tort de se
plaindre."
DON JUAN,J'ai eu ma grâce de cette affaire.
SGANARELLE,"Oui, mais cette grâce n'éteint pas peut-être le
ressentiment des parents et des amis, et..."
DON JUAN,"Ah ! N'allons point songer au mal qui nous peut arriver,
et songeons seulement à ce qui nous peut donner du
plaisir. La personne dont je te parle est une jeune fiancée,
la plus agréable du monde, qui a été conduite ici par celui
même qu'elle y vient épouser ; et le hasard me fit voir ce
couple d'amants trois ou quatre jours avant leur voyage.
Jamais je n'ai vu deux personnes être si contents l'un de
l'autre, et faire éclater plus d'amour. La tendresse visible
de leurs mutuelles ardeurs me donna de l'émotion ; j'en
fus frappé au coeur et mon amour commença par la
jalousie. Oui, je ne pus souffrir d'abord de les voir si bien
ensemble ; le dépit alarma mes désirs, et je me figurai un
plaisir extrême à pouvoir troubler leur intelligence, et
rompre cet attachement, dont la délicatesse de mon coeur
se tenait offensée ; mais jusques ici tous mes efforts ont
été inutiles, et j'ai recours au dernier remède. Cet époux
prétendu doit aujourd'hui régaler sa maîtresse d'une
promenade sur mer. Sans t'en avoir rien dit, toutes choses
sont préparées pour satisfaire mon amour, et j'ai une
petite barque et des gens, avec quoi fort facilement je
prétends enlever la belle. 
- 12 -"
SGANARELLE,Ha ! Monsieur...
DON JUAN,Hen ?
SGANARELLE,"C'est fort bien à vous, et vous le prenez comme il faut. Il
n'est rien tel en ce monde que de se contenter."
DON JUAN,"Prépare-toi donc à venir avec moi, et prends soin
toi-même d'apporter toutes mes armes, afin que... Ah !
Rencontre fâcheuse. Traître, tu ne m'avais pas dit qu'elle
était ici elle-même."
SGANARELLE,"Monsieur, vous ne me l'avez pas demandé."
DON JUAN,"Est-elle folle, de n'avoir pas changé d'habit, et de venir en
ce lieu-ci avec son équipage de campagne ? 
SCÈNE III.
Dona Elvire, Don Juan, Sganarelle.
DONA"
ELVIRE,"Me ferez-vous la grâce, Don Juan, de vouloir bien me
reconnaître ? Et puis-je au moins espérer que vous
daigniez tourner le visage de ce côté ?"
DON JUAN,"Madame, je vous avoue que je suis surpris, et que je ne
vous attendais pas ici. 
DONA"
ELVIRE,"Oui, je vois bien que vous ne m'y attendiez pas ; et vous
êtes surpris, à la vérité, mais tout autrement que je ne
l'espérais ; et la manière dont vous le paraissez me
persuade pleinement ce que je refusais de croire. J'admire
ma simplicité et la faiblesse de mon coeur à douter d'une
trahison que tant d'apparences me confirmaient. J'ai été
assez bonne, je le confesse, ou plutôt assez sotte pour me
vouloir tromper moi-même, et travailler à démentir mes
yeux et mon jugement. J'ai cherché des raisons pour
excuser à ma tendresse le relâchement d'amitié qu'elle
voyait en vous ; et je me suis forgé exprès cent sujets
légitimes d'un départ si précipité, pour vous justifier du
crime dont ma raison vous accusait. Mes justes soupçons
- 13 -"
DON JUAN,"Madame, voilà Sganarelle qui sait pourquoi je suis parti."
SGANARELLE,"Moi, Monsieur ? Je n'en sais rien, s'il vous plaît. 
DONA"
ELVIRE,"Hé bien ! Sganarelle, parlez. Il n'importe de quelle
bouche j'entende ces raisons."
SGANARELLE,"Que voulez-vous que je dise ? 
DONA"
ELVIRE,"Approchez, puisqu'on le veut ainsi, et me dites un peu les
causes d'un départ si prompt."
DON JUAN,Tu ne répondras pas ?
SGANARELLE,"Je n'ai rien à répondre. Vous vous moquez de votre
serviteur."
DON JUAN,"Veux-tu répondre, te dis-je ?"
SGANARELLE,"Madame... 
DONA"
ELVIRE,"Quoi ? 
- 14 -"
DON JUAN,Si...
SGANARELLE,"Madame, les conquérants, Alexandre et les autres
mondes sont causes de notre départ. Voilà, Monsieur,
tout ce que je puis dire. 
DONA"
ELVIRE,"Vous plaît-il, Don juan, nous éclaircir ces beaux mystères
?"
DON JUAN,"Madame, à vous dire la vérité... 
DONA"
ELVIRE,"Ah ! Que vous savez mal vous défendre pour un homme
de coeur, et qui doit être accoutumé à ces sortes de
choses ! J'ai pitié de vous voir la confusion que vous
avez. Que ne vous armez-vous le front d'une noble
effronterie ? Que ne me jurez-vous que vous êtes toujours
dans les mêmes sentiments pour moi, que vous m'aimez
toujours avec une ardeur sans égale, et que rien n'est
capable de vous détacher de moi que la mort ? Que ne me
dites-vous que des affaires de la dernière conséquence
vous ont obligé à partir sans m'en donner avis ; qu'il faut
que, malgré vous, vous demeuriez ici quelque temps, et
que je n'ai qu'à m'en retourner d'où je viens, assurée que
vous suivrez mes pas le plus tôt qu'il vous sera possible ;
qu'il est certain que vous brûlez de me rejoindre, et
qu'éloigné de moi, vous souffrez ce que souffre un corps
qui est séparé de son âme ? Voilà comme il faut vous
défendre ; et non pas être interdit comme vous êtes."
DON JUAN,"Je vous avoue, Madame, que je n'ai point le talent de
dissimuler, et que je porte un coeur sincère. Je ne vous
dirai point que je suis toujours dans les mêmes
sentiments pour vous, et que je brûle de vous rejoindre,
puisque enfin il est assuré que je ne suis parti que pour
vous fuir ; non point par les raisons que vous pouvez
vous figurer, mais par un pur motif de conscience, et
pour ne croire pas qu'avec vous davantage je puisse vivre
sans péché. Il m'est venu des scrupules, Madame, et j'ai
ouvert les yeux de l'âme sur ce que je faisais. J'ai fait
réflexion que, pour vous épouser, je vous ai dérobée à la
clôture d'un convent, que vous avez rompu des voux qui
vous engageaient autre part, et que le Ciel est fort jaloux
de ces sortes de choses. Le repentir m'a pris, et j'ai craint
- 15 -"
ELVIRE,"Ah ! scélérat, c'est maintenant que je te connais tout
entier ; et pour mon malheur, je te connais lorsqu'il n'en
est plus temps, et qu'une telle connaissance ne peut plus
me servir qu'à me désespérer. Mais sache que ton crime
ne demeurera pas impuni, et que le même Ciel dont tu te
joues me saura venger de ta perfidie."
DON JUAN,"Sganarelle, le Ciel !"
SGANARELLE,"Vraiment oui, nous nous moquons bien de cela, nous
autres."
DON JUAN,"Madame... 
DONA"
ELVIRE,"Il suffit. Je n'en veux pas ouïr davantage, et je m'accuse
même d'en avoir trop entendu. C'est une lâcheté que de se
faire expliquer trop sa honte ; et, sur de tels sujets, un
noble coeur, au premier mot, doit prendre son parti.
N'attends pas que j'éclate ici en reproches et en injures :
non, non, je n'ai point un courroux à exhaler en paroles
vaines, et toute sa chaleur se réserve pour sa vengeance.
Je te le dis encore ; le Ciel te punira, perfide, de l'outrage
que tu me fais ; et si le Ciel n'a rien que tu puisses
appréhender, appréhende du moins la colère d'une femme
offensée."
SGANARELLE,Si le remords le pouvait prendre !
SGANARELLE,"Ah ! Quel abominable maître me vois-je obligé de servir
! 
- 16 -"
CHARLOTTE,"Nostre-dinse, Piarrot, tu t'es trouvé là bien à point."
PIERROT,"Parquienne, il ne s'en est pas fallu l'époisseur d'une
éplinque qu'ils ne se sayant nayés tous deux."
CHARLOTTE,"C'est donc le coup de vent da matin qui les avait
renvarsés dans la mar ?"
PIERROT,"Aga : interjection admirative. Vieux
mot et populaire, qui vient d'un autre
vieux mot, Agardez, pour dire
Regardez, voyez un peu. [F]Aga, guien, Charlotte ; je m'en vas te conter tout fin drait
comme cela est venu ; car, comme dit l'autre, je les ai le
premier avisés, avisés le premier je les ai. Enfin donc
j'estions sur le bord de la mar, moi et le gros Lucas, et je
nous amusions à batifoler avec des mottes de tarre que je
nous jesquions à la teste ; car, comme tu sais bian, le gros
Lucas aime à batifoler, et moi par fouas je batifole itou.
En batifolant donc, pisque batifoler y a, j'ai aparçu de
tout loin queuque chose qui grouilloit dans gliau, et qui
venait comme envars nous par secousse. Je voyois cela
fixiblement, et pis tout d'un coup je voyois que je ne
voyois plus rien. ""Eh ! Lucas, ç'ai-je fait, je pense que vlà
des hommes qui nageant là-bas. - Voire, ce m'a-t-il fait,
t'as esté au trépassement d'un chat, t'as la vue trouble. -
Palsanquienne, ç'ai-je fait, je n'ai point la vue trouble : ce
sont des hommes. - Point du tout, ce m'a-t-il fait, t'as la
barlue. - Veux-tu gager, ç'ai-je fait, que je n'ai point la
barlue, c'ai-je fait, et que sont deux hommes, ç'ai-je fait,
qui nageant droit ici ? ç'ai-je fait. - Morquenne, ce
m'a-t-il fait, je gage que non. - Ô ! ça, ç'ai-je fait, veux-tu
gager dix sols que si ? - Je le veux bian, ce m'a-t-il fait ;
et pour te montrer, vlà argent su jeu,"" ce m'a-t-il fait.
Moi, je n'ai point esté ni fou, ni estourdi ; j'ai bravement
bouté à tarre quatre pièces tapées et cinq sols en doubles,
jergniguenne, aussi hardiment que si j'avais avalé un
varre de vin ; car je ses hasardeux, moi, et je vas à la
débandade. Je savois bian ce que je faisois pourtant.
- 18 -"
CHARLOTTE,"Ne m'as-tu pas dit, Piarrot, qu'il y en a un qu'est bien pu
mieux fait que les autres ?"
PIERROT,"Stapendant : ou Stapandant, altération
pour cependant.Oui, c'est le maître. Il faut que ce soit queuque gros, gros
Monsieur, car il a du dor à son habit tout depis le haut
jusqu'en bas ; et ceux qui le servont sont des Monsieux
eux-mesmes ; et stapandant, tout gros Monsieur qu'il est,
il serait, par ma fique, nayé, si je naviomme été là."
CHARLOTTE,"Arder : Brûler. Vieux mot qui n'est
plus en usage, mais dont il reste encore
quelques traces dans cette phrase
populaire d'imprécation. [Ac. 1762].Ardez un peu."
PIERROT,"Ô ! Parquenne, sans nous, il en avait pour sa maine de
fèves."
CHARLOTTE,"Est-il encore cheux toi tout nu, Piarrot ?"
PIERROT,"Angingorniaux : trucs, machins. terme
populaire.Nannain : ils l'avont rhabillé tout devant nous. Mon
quieu, je n'en avais jamais vu s'habiller. Que d'histoires et
d'angigorniaux boutont ces Messieus-là les courtisans ! Je
me pardrois là dedans, pour moi, et j'estois tout ébobi de
voir ça. Quien, Charlotte, ils avont des cheveux qui ne
tenont point à leu teste ; et ils boutont ça après tout,
comme un gros bonnet de filace. Ils ant des chemises qui
ant des manches où j'entrerions tout brandis, toi et moi.
En glieu d'hau-de-chausse, ils portont un garde-robe aussi
large que d'ici à Pasque ; en glieu de pourpoint, de petites
brassières, qui ne leu venont pas usqu'au brichet ; et en
glieu de rabats, un grand mouchoir de cou à réziau, aveuc
quatre grosses houppes de linge qui leu pendont sur
l'estomaque. Ils avont itou d'autres petits rabats au bout
des bras, et de grands entonnois de passement aux
jambes, et parmi tout ça tant de rubans, tant de rubans,
que c'est une vraie piquié. Ignia pas jusqu'aux souliers
- 19 -"
CHARLOTTE,"Par ma fi, Piarrot, il faut que j'aille voir un peu ça."
PIERROT,"Ô ! Acoute un peu auparavant, Charlotte : j'ai queuque
autre chose à te dire, moi."
CHARLOTTE,"Et bian ! Dis, qu'est-ce que c'est ?"
PIERROT,"Débonder : lâcher ou ôter le bonde
d'un étang. Se dit figurémment en
choses morales. [F] syn. vider. Vois-tu, Charlotte, il faut, comme dit l'autre, que je
débonde mon coeur. Je t'aime, tu le sais bian, et je
sommes pour estre mariés ensemble ; mais marquenne, je
ne suis point satisfait de toi."
CHARLOTTE,Quement ? Qu'est-ce que c'est donc qu'iglia ?
PIERROT,"Iglia que tu me chagraignes l'esprit, franchement."
CHARLOTTE,Et quement donc ?
PIERROT,"Testiguienne, tu ne m'aimes point."
CHARLOTTE,Ah ! Ah ! N'est que ça ?
PIERROT,"Oui, ce n'est que ça, et c'est bian assez."
CHARLOTTE,"Mon quieu, Piarrot, tu me viens toujou dire la mesme
chose."
PIERROT,"Je te dis toujou la mesme chose, parce que c'est toujou la
mesme chose ; et si ce n'étoit pas toujou la mesme chose ;
je ne te dirois pas toujou la mesme chose. 
- 20 -"
CHARLOTTE,Mais qu'est-ce qu'il te faut ? Que veux-tu ?
PIERROT,Jerniquenne ! Je veux que tu m'aimes.
CHARLOTTE,Est-ce que je ne t'aime pas ?
PIERROT,"Vielleux : joueur de vielle. Non, tu ne m'aimes pas ; et si, je fais tout ce que je pis
pour : ça : je t'achète, sans reproche, des rubans à tous les
marciers qui passont ; je me romps le cou à t'aller
denicher des marles ; je fais jouer pour toi les vielleux
quand ce vient ta feste ; et tout ça, comme si je me
frappois la teste contre un mur. Vois-tu, ça n'est ni biau ni
honneste de n'aimer pas les gens qui nous aimont."
CHARLOTTE,"Mais, mon gnieu, je t'aime aussi."
PIERROT,"Oui, tu m'aimes d'une belle deguaine !"
CHARLOTTE,Quement veux-tu donc qu'on fasse ?
PIERROT,"Je veux que l'en fasse comme l'en fait quand l'en aime
comme il faut."
CHARLOTTE,Ne t'aimé-je pas aussi comme il faut ?
PIERROT,"Assoter : Rendre sot, gouverner
quelqu'un avec empire. Ce mot est du
plus bas style. [F]Grouiller : Terme familier. Se remuer.
[L] Voir occurence dans Molière
Misanthrope Acte II scène 3, v. 616.Non ! Quand ça est, ça se voit, et l'en fait mille petites
singeries aux personnes quand on les aime du bon du
coeur. Regarde la grosse Thomasse, comme elle est
assotée du jeune Robain : alle est toujou autour de li à
l'agacer, et ne le laisse jamais en repos ; toujou al li fait
queuque niche ou li baille quelque taloche en passant ; et
l'autre jour qu'il estoit assis sur un escabiau, al fut le tirer
de dessous li, et le fit choir tout de son long par tarre.
Jarni ! Vlà où l'en voit les gens qui aimont ; mais toi, tu
ne me dis jamais mot, t'es toujou là comme eune vraie
souche de bois ; et je passerois vingt fois devant toi, que
tu ne te grouillerois pas pour me bailler le moindre coup,
ou me dire la moindre chose. Ventrequenne ! ça n'est pas
bian, après tout, et t'es trop froide pour les gens. 
- 21 -"
CHARLOTTE,"Que veux-tu que j'y fasse ? C'est mon himeur, et je ne me
pis refondre."
PIERROT,"Bailler : donner, mettre la main. [F] Ignia himeur qui quienne. Quand en a de l'amiquié pour
les personnes, l'an en baille toujou queuque petite
signifiance."
CHARLOTTE,"Enfin je t'aime tout autant que je pis, et, si tu n'es pas
content de ça, tu n'as qu'à en aimer queuque autre."
PIERROT,"Eh bien ! Vlà pas mon compte. Testigué ! Si tu m'aimais,
me dirais-tu ça ?"
CHARLOTTE,"Tarabuster : Temre populaie qui
signifie, importuner quelq'un, être
sans cesse à ses oreilles, ou
l'incommoder en toute autre manière.
[F]Pourquoi me viens-tu aussi tarabuster l'esprit ?"
PIERROT,"Morqué ! Queu mal te fais-je ! Je ne te demande qu'un
peu d'amiquié."
CHARLOTTE,"Eh bian ! Laisse faire aussi, et ne me presse point tant.
Peut-être que ça viendra tout d'un coup sans y songer."
PIERROT,"Touche donc là, Charlotte."
CHARLOTTE,Eh bien ! Quien.
PIERROT,Promets-moi donc que tu tâcheras de m'aimer davantage.
CHARLOTTE,"J'y ferai tout ce que je pourrai, mais il faut que ça vienne
de lui-même. Pierrot, est-ce là ce Monsieur ?"
PIERROT,"Oui, le vlà. 
- 22 -"
CHARLOTTE,"Ah ! Mon quieu, qu'il est genti, et que ç'auroit été
dommage qu'il eût esté nayé !"
PIERROT,"Je revians tout à l'heure : je m'en vas boire chopaine, pour
me rebouter tant soit peu de la fatigue que j'ais eue. 
SCÈNE II.
Don Juan, Sganarelle, Charlotte."
DON JUAN,"Nous avons manqué notre coup, Sganarelle, et cette
bourrasque imprévue a renversé avec notre barque le
projet que nous avions fait ; mais, à te dire vrai, la
paysanne que je viens de quitter répare ce malheur, et je
lui ai trouvé des charmes qui effacent de mon esprit tout
le chagrin que me donnait le mauvais succès de notre
entreprise. Il ne faut pas que ce coeur m'échappe, et j'y ai
déjà jeté des dispositions à ne pas me souffrir longtemps
de pousser des soupirs."
SGANARELLE,"Monsieur, j'avoue que vous m'étonnez. A peine
sommes-nous échappés d'un péril de mort, qu'au lieu de
rendre grâce au Ciel de la pitié qu'il a daigné prendre de
nous, vous travaillez tout de nouveau à attirer sa colère
par vos fantaisies accoutumées et vos amours cr... Paix !
Coquin que vous êtes ; vous ne savez ce que vous dites,
et Monsieur sait ce qu'il fait. Allons."
SGANARELLE,Assurément. Autre pièce nouvelle.
DON JUAN,"D'où me vient, la belle, une rencontre si agréable ? Quoi
? Dans ces lieux champêtres, parmi ces arbres et ces
rochers, on trouve des personnes faites comme vous êtes
? 
- 23 -"
CHARLOTTE,"Vous voyez, Monsieur."
DON JUAN,Etes-vous de ce village ?
CHARLOTTE,"Oui, Monsieur."
DON JUAN,Et vous y demeurez ?
CHARLOTTE,"Oui, Monsieur."
DON JUAN,Vous vous appelez ?
CHARLOTTE,"Charlotte, pour vous servir."
DON JUAN,"Ah ! La belle personne, et que ses yeux sont pénétrants !"
CHARLOTTE,"Monsieur, vous me rendez toute honteuse."
DON JUAN,"Ah ! N'ayez point de honte d'entendre dire vos vérités.
Sganarelle, qu'en dis-tu ? Peut-on voir rien de plus
agréable ? Tournez-vous un peu, s'il vous plaît. Ah ! Que
cette taille est jolie ! Haussez un peu la tête, de grâce. Ah
! Que ce visage est mignon ! Ouvrez vos yeux
entièrement. Ah ! Qu'ils sont beaux ! Que je voie un peu
vos dents, je vous prie. Ah ! Qu'elles sont amoureuses, et
ces lèvres appétissantes ! Pour moi, je suis ravi, et je n'ai
jamais vu une si charmante personne."
CHARLOTTE,"Monsieur, cela vous plaît à dire, et je ne sais pas si c'est
pour vous railler de moi. 
- 24 -"
DON JUAN,"Moi, me railler de vous ? Dieu m'en garde ! Je vous aime
trop pour cela, et c'est du fond du coeur que je vous parle."
CHARLOTTE,"Je vous suis bien obligée, si ça est."
DON JUAN,"Point du tout ; vous ne m'êtes point obligée de tout ce que
je dis, et ce n'est qu'à votre beauté que vous en êtes
redevable."
CHARLOTTE,"Monsieur, tout ça est trop bien dit pour moi, et je n'ai pas
d'esprit pour vous répondre."
DON JUAN,"Sganarelle, regarde un peu ses mains."
CHARLOTTE,"Fi ! Monsieur, elles sont noires comme je ne sais quoi."
DON JUAN,"Ha ! Que dites-vous là ? Elles sont les plus belles du
monde ; souffrez que je les baise, je vous prie."
CHARLOTTE,"Monsieur, c'est trop d'honneur que vous me faites, et si
j'avqis su ça tantôt, je n'aurais pas manqué de les laver
avec du son."
